lemma,count,per_1000
rom,1136,32.379
gemeinde,247,7.04
stadt,184,5.245
latinisch,155,4.418
könig,128,3.648
senat,127,3.62
politisch,117,3.335
krieg,112,3.192
italien,111,3.164
konsul,109,3.107
griechisch,102,2.907
italisch,96,2.736
etruskisch,88,2.508
pyrrhos,86,2.451
karthago,85,2.423
kampf,82,2.337
bürger,80,2.28
beamter,79,2.252
plebejer,77,2.195
gebiet,77,2.195
latium,77,2.195
heer,76,2.166
samnit,73,2.081
konsuln,70,1.995
gesetz,70,1.995
etrurien,69,1.967
samnitisch,66,1.881
jahrhundert,65,1.853
tarent,65,1.853
volk,64,1.824
übrig,63,1.796
bürgerschaft,59,1.682
führen,58,1.653
staat,58,1.653
samnium,58,1.653
nation,55,1.568
epoche,53,1.511
etrusker,52,1.482
gesetzlich,51,1.454
adel,51,1.454
gewalt,50,1.425
sieg,50,1.425
verhältnis,49,1.397
grieche,48,1.368
kampanisch,48,1.368
feldherr,47,1.34
zweifel,47,1.34
eidgenossenschaft,47,1.34
plebejisch,46,1.311
herrschaft,45,1.283
rechtlich,44,1.254
grund,44,1.254
frieden,44,1.254
anfang,44,1.254
kolonie,44,1.254
frei,42,1.197
erfolg,41,1.169
vielmehr,41,1.169
amt,41,1.169
haus,41,1.169
hellenisch,41,1.169
gehören,40,1.14
latiner,40,1.14
besitz,40,1.14
ähnlich,40,1.14
meer,40,1.14
tarentiner,40,1.14
italiker,39,1.112
capua,39,1.112
gemein,39,1.112
waffe,39,1.112
ferner,37,1.055
erhalten,37,1.055
patrizisch,37,1.055
schlacht,37,1.055
landschaft,37,1.055
syrakus,37,1.055
militärisch,36,1.026
voll,36,1.026
zahl,36,1.026
lucaner,36,1.026
hilfe,35,0.998
patrizier,35,0.998
alexander,35,0.998
ursprünglich,34,0.969
schließen,34,0.969
makedonien,34,0.969
notwendig,33,0.941
gewinnen,33,0.941
diktator,33,0.941
gleichzeitig,33,0.941
einfluß,33,0.941
tragen,33,0.941
grenze,33,0.941
kelt,33,0.941
kampani,33,0.941
vertrag,33,0.941
geschichte,32,0.912
tatsächlich,32,0.912
gelten,32,0.912
wahl,32,0.912
partei,32,0.912
besatzung,32,0.912
minder,31,0.884
herr,31,0.884
allgemein,31,0.884
stellung,31,0.884
bürgerlich,31,0.884
konsulat,31,0.884
erklären,31,0.884
bund,31,0.884
folge,30,0.855
kraft,30,0.855
sagen,30,0.855
unmittelbar,30,0.855
land,30,0.855
südlich,30,0.855
bestehen,29,0.827
obwohl,29,0.827
gestatten,29,0.827
völlig,29,0.827
allmählich,29,0.827
aristokratie,29,0.827
kunst,29,0.827
sinn,28,0.798
leute,28,0.798
gewaltig,28,0.798
küste,28,0.798
beschränken,27,0.77
verschieden,27,0.77
gemeinwesen,27,0.77
sache,27,0.77
regel,27,0.77
ernennen,27,0.77
bisherig,27,0.77
vermögen,27,0.77
mächtig,26,0.741
entwickelung,26,0.741
entscheidung,26,0.741
angriff,26,0.741
lage,26,0.741
verfassung,25,0.713
form,25,0.713
gewiß,25,0.713
republik,25,0.713
geschehen,25,0.713
öffentlich,25,0.713
tribun,25,0.713
lucius,25,0.713
reihe,25,0.713
insel,25,0.713
flotte,25,0.713
innerer,24,0.684
ursache,24,0.684
tod,24,0.684
ereignis,24,0.684
keineswegs,24,0.684
verlieren,24,0.684
regelmäßig,24,0.684
wesen,24,0.684
sowohl,24,0.684
gewähren,24,0.684
erreichen,24,0.684
zensor,24,0.684
nördlich,24,0.684
streng,23,0.656
innerhalb,23,0.656
nennen,23,0.656
späterhin,23,0.656
geschlecht,23,0.656
sicher,23,0.656
trotz,23,0.656
ordnung,23,0.656
zweck,23,0.656
gering,23,0.656
wissen,23,0.656
eng,23,0.656
bericht,23,0.656
festung,23,0.656
deutlich,23,0.656
gefährlich,23,0.656
folgend,23,0.656
gründung,23,0.656
sichern,23,0.656
tribune,23,0.656
truppe,23,0.656
bedeutung,22,0.627
spitze,22,0.627
entscheiden,22,0.627
bestimmt,22,0.627
entziehen,22,0.627
regiment,22,0.627
bedeutend,22,0.627
menge,22,0.627
ausschließlich,22,0.627
behaupten,22,0.627
feststellen,22,0.627
bedingung,22,0.627
soldat,22,0.627
brechen,22,0.627
verstehen,22,0.627
nächster,22,0.627
erzählung,22,0.627
politik,22,0.627
stamm,22,0.627
tempel,22,0.627
entwickeln,21,0.599
freiheit,21,0.599
städtisch,21,0.599
bezeichnen,21,0.599
offenbar,21,0.599
lediglich,21,0.599
hauptsächlich,21,0.599
tief,21,0.599
bestimmen,21,0.599
gesamt,21,0.599
insofern,21,0.599
fuß,21,0.599
abhängig,21,0.599
bestimmung,21,0.599
anzahl,21,0.599
besetzen,21,0.599
vereinigen,21,0.599
fremd,21,0.599
jung,21,0.599
appius,21,0.599
tribunat,21,0.599
platz,21,0.599
bündnis,21,0.599
periode,21,0.599
tarentinisch,21,0.599
liv,21,0.599
revolution,20,0.57
sogenannter,20,0.57
zahlreich,20,0.57
vermutlich,20,0.57
beschränkung,20,0.57
magistratur,20,0.57
stelle,20,0.57
volsker,20,0.57
gelangen,20,0.57
soweit,20,0.57
werfen,20,0.57
ernstlich,20,0.57
überall,20,0.57
legione,20,0.57
adriatisch,20,0.57
legen,19,0.542
gegensatz,19,0.542
königtum,19,0.542
fortan,19,0.542
erkennen,19,0.542
infolge,19,0.542
hauptstadt,19,0.542
dauer,19,0.542
liste,19,0.542
nachher,19,0.542
plebs,19,0.542
wenden,19,0.542
claudius,19,0.542
widerstand,19,0.542
versuch,19,0.542
gaius,19,0.542
sohn,19,0.542
entscheidend,19,0.542
feind,19,0.542
östlich,19,0.542
sizilisch,19,0.542
antium,19,0.542
keltisch,19,0.542
brettier,19,0.542
sämtlicher,18,0.513
sabellisch,18,0.513
verbindung,18,0.513
spur,18,0.513
zusammenhang,18,0.513
ordentlich,18,0.513
unmöglich,18,0.513
verwaltung,18,0.513
führer,18,0.513
beruhen,18,0.513
adlig,18,0.513
vorzugsweise,18,0.513
schritt,18,0.513
beziehung,18,0.513
wort,18,0.513
fehlen,18,0.513
gründen,18,0.513
