band,left,unnamed:2,unnamed:3,unnamed:4,unnamed:5,unnamed:6,unnamed:7,unnamed:8,unnamed:9,unnamed:10,keyword,right,unnamed:13,unnamed:14,unnamed:15,unnamed:16,unnamed:17,unnamed:18,unnamed:19,unnamed:20,unnamed:21,context,adjectives
Buch1,den,tarentinischen,Herakleoten,gemeinsam,Die,Grundgedanken,der,römischen,Verfassung,Königtum,Senat,und,eine,nur,zur,Bestätigung,oder,Verwerfung,der,von,dem,den Senat und,[]
Buch1,zur,Bestätigung,oder,Verwerfung,der,von,dem,König,und,dem,Senat,an,sie,gebrachten,Anträge,befugte,Volksversammlung,sind,kaum,irgendwo,so,zur Senat an,[]
Buch1,und,die,Verteilung,des,im,Kriege,gewonnenen,Ackerlandes,mit,dem,Senat,zu,beraten,Indes,nicht,bloß,leistend,und,dienend,erscheint,die,und Senat zu,[]
Buch1,Überlieferung,daß,in,dem,ursprünglichen,Rom,die,sämtlichen,Hausväter,den,Senat,gebildet,hätten,ist,staatsrechtlich,insofern,richtig,als,jedes,der,nicht,Überlieferung Senat gebildet,[]
Buch1,bestimmten,Ältesten,stand,so,ist,in,derselben,Epoche,auch,der,Senat,nichts,gewesen,als,die,Gesamtheit,dieser,Geschlechtsältesten,und,demnach,eine,bestimmten Senat nichts,['bestimmt']
Buch1,ursprünglichen,Wesen,des,Rates,der,Ältesten,auch,auf,den,römischen,Senat,noch,viele,und,wichtige,Rechtsfolgen,übergegangen,um,es,mit,einem,ursprünglichen Senat noch,['ursprünglich']
Buch1,zu,Rate,sitzenden,Fürsten,und,Herren,des,Volkes,Solange,der,Senat,durch,die,Gesamtheit,der,Geschlechtshäupter,gebildet,ward,kann,die,Zahl,zu Senat durch,[]
Buch1,seiner,monarchischen,nicht,aber,erblich,monarchischen,Ordnung,Wenn,also,dieser,Senat,später,den,Griechen,eine,Versammlung,von,Königen,zu,sein,dünkte,seiner Senat später,[]
Buch1,oder,den,Rechtsstreit,zu,entscheiden,wohl,von,jeher,aus,dem,Senat,genommen,weshalb,auch,später,noch,die,höchsten,Befehlshaberstellen,regelmäßig,nur,oder Senat genommen,[]
Buch1,weder,bei,der,Heerleitung,noch,bei,der,Rechtsprechung,ist,der,Senat,in,seiner,Gesamtheit,je,zugezogen,worden,weshalb,es,auch,in,weder Senat in,[]
Buch1,wie,den,beiden,Häusern,in,dem,heutigen,konstitutionellen,Staat,der,Senat,war,nicht,sowohl,Gesetzgeber,als,Gesetzwächter,und,konnte,den,Beschluß,wie Senat war,[]
Buch1,erklärt,hatte,war,der,nun,von,der,Bürgerschaft,beschlossene,vom,Senat,gebilligte,Krieg,förmlich,erklärt,Gewiß,war,es,weder,die,Absicht,erklärt Senat gebilligte,[]
Buch1,aber,wie,im,Fall,der,Vakanz,des,höchsten,Amtes,der,Senat,die,Dauer,der,Gemeindeverfassung,verbürgte,finden,wir,auch,hier,ihn,aber Senat die,[]
Buch1,nach,dem,anderen,darüber,ihr,Gutachten,abgeben,ließ,Da,dem,Senat,das,Recht,zustand,den,gefaßten,Beschluß,zu,kassieren,so,lag,nach Senat das,[]
Buch1,entscheiden,ohne,anderer,Männer,Rat,vernommen,zu,haben,anderseits,der,Senat,seiner,ganzen,Zusammensetzung,nach,dazu,berufen,war,dem,Herrscher,der,entscheiden Senat seiner,[]
Buch1,zum,Wehrdienst,und,bei,Verfügungen,über,das,eroberte,Gebiet,den,Senat,vorher,zu,fragen,aber,wenn,auch,üblich,rechtlich,notwendig,war,zum Senat vorher,[]
Buch1,König,kann,es,unterlassen,ihm,zu,folgen,ohne,daß,dem,Senat,ein,anderes,Mittelzustände,seiner,Ansicht,praktische,Geltung,zu,schaffen,als,König Senat ein,[]
Buch1,Anzahl,der,angesehensten,Männer,der,neu,hinzutretenden,Gemeinde,in,den,Senat,der,palatinischen,Stadt,aufgenommen,sein,mag,Ebenso,verfuhr,man,mit,Anzahl Senat der,[]
Buch1,das,uralte,Marken,des,Hutviehs,scriptura,an,die,Anrede,im,Senat,Väter,und,Eingeschriebene,patres,conscripti,an,das,hohe,Alter,der,das Senat Väter,[]
Buch2,solchen,wieder,zu,erwählen,wie,nach,Romulus,Tode,der,römische,Senat,versucht,haben,soll,oder,der,Herr,mochte,freiwillig,abdanken,was,solchen Senat versucht,[]
Buch2,Grundzügen,nicht,zu,zweifeln,Daß,der,König,es,unterließ,den,Senat,zu,befragen,und,zu,ergänzen,daß,er,Todesurteile,und,Konfiskationen,Grundzügen Senat zu,[]
Buch2,Reichen,Nicht,in,gleicher,Weise,wie,die,Gemeinde,wurde,der,Senat,durch,die,Reform,der,Verfassung,betroffen,Das,bisherige,Kollegium,der,Reichen Senat durch,['reich']
Buch2,mit,der,Abschaffung,des,Königtums,für,diejenigen,Angelegenheiten,die,im,Senat,sonst,zur,Sprache,kamen,und,die,eine,freiere,Behandlung,zuließen,mit Senat sonst,[]
Buch2,der,gesamten,Körperschaft,herbeigeführt,hat,Seit,ältester,Zeit,hat,der,Senat,nicht,allein,und,nicht,vorzugsweise,aber,doch,auch,als,Staatsrat,der Senat nicht,[]
Buch2,jetzt,die,Einrichtung,getroffen,daß,für,dergleichen,Verhandlungen,dem,patrizischen,Senat,patres,eine,Anzahl,nicht,patrizischer,Eingeschriebener,conscripti,beigegeben,wurden,Eine,jetzt Senat patres,['patre']
Buch2,Gleichstellung,war,dies,freilich,in,keiner,Weise,die,Plebejer,im,Senat,wurden,nicht,Senatoren,sondern,blieben,Mitglieder,des,Ritterstandes,hießen,nicht,Gleichstellung Senat wurden,[]
Buch2,ferner,nicht,bloß,unbedingt,ausgeschlossen,von,der,Ausübung,der,dem,Senat,zustehenden,obrigkeitlichen,Befugnisse,auctoritas,sondern,sie,mußten,auch,da,wo,ferner Senat zustehenden,['zustehend']
Buch2,auch,hier,getan,Im,übrigen,änderte,sich,in,den,den,Senat,betreffenden,Ordnungen,nichts,Wesentliches,Unter,den,patrizischen,Mitgliedern,machte,sich,auch Senat betreffenden,[]
Buch2,sie,nicht,über,eine,bestimmte,Zahl,von,Plebejern,in,den,Senat,hätten,aufnehmen,dürfen,ist,nichts,bekannt,es,bedurfte,einer,solchen,sie Senat hätten,[]
Buch2,daß,die,Bekleidung,des,Konsulats,notwendig,den,Eintritt,in,den,Senat,auf,Lebenszeit,herbeiführe,wenn,was,in,dieser,Zeit,wohl,noch,daß Senat auf,[]
Buch2,mit,und,durch,den,Willen,des,Rates,anzugreifen,Indem,der,Senat,es,den,Konsuln,zur,Pflicht,machte,die,Verwaltung,der,Gemeindekasse,mit Senat es,[]
Buch2,aber,begreiflicherweise,noch,weit,mehr,als,die,Konsuln,selbst,vom,Senat,abhingen,zog,er,die,Leitung,des,Kassenwesens,an,sich,und,aber Senat abhingen,[]
Buch2,Anteil,am,Regiment,ausgeschlossen,waren,spielten,sie,notwendigerweise,auch,im,Senat,eine,untergeordnete,Rolle,und,wurden,überdies,durch,das,ökonomisch,wichtige,Anteil Senat eine,[]
Buch2,Interesse,gebraucht,und,der,mißliebige,Plebejer,mittelst,desselben,aus,dem,Senat,ferngehalten,und,sogar,wieder,ausgeschieden,werden,Es,ist,darum,durchaus,Interesse Senat ferngehalten,[]
Buch2,sondern,vorzugsweise,den,Häuptern,der,reichen,und,angesehenen,Plebejerfamilien,im,Senat,neben,sich,zu,sitzen,gestattete,und,die,also,zugelassenen,Familien,sondern Senat neben,[]
Buch2,Rechts,das,heißt,dem,Patrizier,zusteht,und,wenn,auch,der,Senat,zu,Gunsten,der,reichen,in,ihm,mitvertretenen,plebejischen,Häuser,nach,Rechts Senat zu,[]
Buch2,Plebejern,nicht,an,reichen,und,ansehnlichen,Familien,und,da,der,Senat,der,schon,damals,vielleicht,zur,größeren,Hälfte,aus,Plebejern,bestand,Plebejern Senat der,[]
Buch2,Mann,umso,schwerer,lastete,als,durch,den,Eintritt,in,den,Senat,die,tüchtigsten,und,widerstandsfähigsten,Personen,aus,der,Klasse,der,Unterdrückten,Mann Senat die,[]
Buch2,zu,voller,Rechtsgleichheit,zuzulassen,etwa,an,den,Eintritt,in,den,Senat,die,Gewinnung,des,Patriziats,zu,knüpfen,so,mochten,beide,noch,zu Senat die,[]
Buch2,als,die,Sieger,heimkamen,und,der,Diktator,seine,Reformvorschläge,dem,Senat,vorlegte,scheiterten,sie,an,dem,hartnäckigen,Widerstand,des,Senats,Noch,als Senat vorlegte,[]
Buch2,solcher,Bürgerkrieg,auch,mit,ihrem,ökonomischen,Ruin,enden,müsse,der,Senat,gab,nach,Der,Diktator,vermittelte,das,Verträgnis,die,Bürger,kehrten,solcher Senat gab,[]
Buch2,das,heißt,er,versuchte,die,Entscheidung,über,die,Domänen,dem,Senat,zu,entreißen,und,gestützt,auf,die,Bürgerschaft,dem,egoistischen,Okkupationssystem,das Senat zu,[]
Buch2,künftighin,in,ihrer,richterlichen,Gewalt,gebunden,sein,sollten,Aber,der,Senat,weigerte,sich,diesem,Vorschlag,seine,Sanktion,zu,geben,und,es,künftighin Senat weigerte,[]
Buch2,gleicher,Hartnäckigkeit,hinderte,die,Adelspartei,die,Zulassung,des,Gesetzes,im,Senat,und,ernannte,die,Gemeinde,wieder,und,wieder,dieselben,Männer,zu,gleicher Senat und,['gleich']
Buch2,fordern,Endlich,im,Jahre,300,kam,ein,Vergleich,zustande,der,Senat,gab,in,der,Hauptsache,nach,Die,Abfassung,des,Landrechts,wurde,fordern Senat gab,[]
Buch2,Valerier,und,Horatier,an,ihrer,Spitze,soll,versucht,haben,im,Senat,die,Abdankung,der,Decemvirn,zu,erzwingen,allein,das,Haupt,der,Valerier Senat die,['valerier']
Buch2,umschlagend,zum,Demagogen,und,zum,Tyrannen,gewann,das,Übergewicht,im,Senat,und,auch,das,Volk,fügte,sich,Die,Aushebung,eines,doppelten,umschlagend Senat und,[]
Buch2,sich,den,Häschern,des,Gewaltherrn,und,während,in,Rom,der,Senat,zittert,und,schwankt,erscheinen,die,beiden,mit,zahlreichen,Zeugen,der,sich Senat zittert,[]
Buch2,war,es,daß,den,Tribunen,Anteil,an,den,Verhandlungen,im,Senat,eingeräumt,ward,Zwar,in,den,Sitzungssaal,die,Tribune,zuzulassen,schien,war Senat eingeräumt,[]
Buch2,ward,Zwar,in,den,Sitzungssaal,die,Tribune,zuzulassen,schien,dem,Senat,unter,seiner,Würde,es,wurde,ihnen,eine,Bank,an,die,ward Senat unter,[]
Buch2,zu,der,Annahme,daß,ein,Teil,der,vermögenden,in,den,Senat,aufgenommenen,Plebejer,denselben,nicht,minder,entgegen,war,als,die,Patrizier,zu Senat aufgenommenen,[]
Buch2,Teilnahme,an,den,Ämtern,geltend,zu,machen,während,der,ganze,Senat,in,seiner,finanziellen,Sondermacht,bedroht,war,So,erklärt,es,sich,Teilnahme Senat in,[]
Buch2,Ehre,des,Triumphs,war,es,daß,die,Ausschließung,der,im,Senat,sitzenden,Plebejer,von,der,Debatte,notwendig,für,diejenigen,von,ihnen,Ehre Senat sitzenden,[]
Buch2,wegen,des,daran,sich,knüpfenden,Rechts,die,erledigten,Plätze,im,Senat,und,in,der,Ritterschaft,zu,besetzen,und,bei,der,Feststellung,wegen Senat und,[]
Buch2,Ritterschaft,zu,besetzen,und,bei,der,Feststellung,der,Listen,von,Senat,Ritter,und,Bürgerschaft,einzelne,Personen,aus,denselben,zu,entfernen,die,Ritterschaft Senat Ritter,[]
Buch2,ihre,Einwilligung,zu,der,Kriegserklärung,zu,verweigern,entschloß,sich,der,Senat,zu,einer,wichtigen,Konzession,er,übernahm,den,Sold,den,bisher,ihre Senat zu,[]
Buch2,zusammen,und,nach,lang,angeblich,elfjährigem,Kampfe,gab,endlich,der,Senat,seine,Einwilligung,und,gingen,sie,im,Jahre,387,durch,Mit,zusammen Senat seine,[]
Buch2,alten,Malstatt,der,Bürgerschaft,dem,Comitium,erhöhten,Fläche,wo,der,Senat,häufig,zusammenzutreten,pflegte,ein,Heiligtum,der,Eintracht,stiftete,so,gibt,alten Senat häufig,['alt']
Buch2,Adelschaft,die,drei,Elemente,des,republikanischen,Gemeinwesens,Bürgerschaft,Magistratur,und,Senat,gegeneinander,sich,stellten,Die,Bürgerschaft,in,ihren,ordentlichen,Versammlungen,blieb,Adelschaft Senat gegeneinander,[]
Buch2,römische,Geschichte,kennt,legte,in,seiner,Zensur,442,ohne,den,Senat,oder,das,Volk,zu,fragen,die,Bürgerliste,so,an,daß,römische Senat oder,['römisch']
Buch2,ersten,plebejischen,Diktator,Gaius,Marcius,Rutilus,im,Jahre,398,vom,Senat,die,verdienten,Triumphe,nicht,zugestanden,wurden,als,die,Konsuln,des,ersten Senat die,['erster']
Buch2,gegenseitige,Kompetenz,nicht,untereinander,sich,einigen,konnten,und,als,der,Senat,im,Jahre,364,die,Auslieferung,eines,pflichtvergessenen,Gesandten,an,die,gegenseitige Senat im,['gegenseitig']
Buch2,wirklich,begann,um,Frieden,bat,401,und,später,als,der,Senat,den,demütig,von,den,Samniten,erbetenen,Frieden,ohne,weiteres,abzuschlagen,wirklich Senat den,[]
Buch2,in,diese,faktischen,Kompetenzbestimmungen,ein,Es,ward,üblich,daß,der,Senat,Jahr,für,Jahr,die,Geschäftskreise,abgrenzte,und,sie,zwar,nicht,in Senat Jahr,[]
Buch2,auch,auf,die,Personenfragen,entscheidend,einwirkte,Äußersten,Falls,erlangte,der,Senat,auch,wohl,einen,Gemeindebeschluß,der,die,Kompetenzfrage,definitiv,entschied,doch,auch Senat auch,[]
Buch2,Friedensschlüsse,den,Konsuln,entzogen,und,dieselben,genötigt,hiebei,an,den,Senat,zu,rekurrieren,und,nach,dessen,Instruktion,zu,verfahren,Für,den,Friedensschlüsse Senat zu,[]
Buch2,Instruktion,zu,verfahren,Für,den,äußersten,Fall,endlich,konnte,der,Senat,jederzeit,die,Konsuln,vom,Amt,suspendieren,indem,nach,einer,nie,Instruktion Senat jederzeit,[]
Buch2,Konsul,doch,der,Sache,nach,in,der,Regel,bei,dem,Senat,stand,Länger,als,in,dem,Konsulat,blieb,in,der,Diktatur,Konsul Senat stand,[]
Buch2,Beamten,nur,den,Konsuln,und,Prätoren,zustand,das,Recht,den,Senat,zu,versammeln,zu,befragen,und,einen,Beschluß,desselben,zu,bewirken,Beamten Senat zu,[]
Buch2,Tribunats,daß,von,einer,kollegialischen,Opposition,der,Tribune,gegen,den,Senat,schlechterdings,keine,Spur,sich,findet,und,die,Regierung,der,etwa,Tribunats Senat schlechterdings,[]
Buch2,Tribunat,selbst,Herr,ward,In,der,Tat,war,es,der,Senat,der,die,Gemeinde,regierte,und,fast,ohne,Widerstand,seit,der,Tribunat Senat der,[]
Buch2,ihnen,anhaftenden,Makels,aus,derselben,wegzulassen,und,somit,aus,dem,Senat,auszuschließen,wo,nicht,eingeführt,doch,wenigstens,schärfer,formuliert,13,und,ihnen Senat auszuschließen,[]
Buch2,den,licinischen,Gesetzen,durchgegangen,ist,das,Recht,der,Beamten,den,Senat,nach,ihrem,Ermessen,zu,konstituieren,indem,es,demjenigen,der,kurulischer,den Senat nach,[]
Buch2,oder,Konsul,gewesen,war,sofort,vorläufig,Sitz,und,Stimme,im,Senat,verlieh,und,die,nächsteintretenden,Zensoren,verpflichtete,diese,Expektanten,entweder,förmlich,oder Senat verlieh,[]
Buch2,Zahl,dieser,gewesenen,Magistrate,bei,weitem,nicht,aus,um,den,Senat,auf,der,normalen,Zahl,von,dreihundert,zu,halten,und,unter,Zahl Senat auf,[]
Buch2,Mitglieder,Die,Kompetenz,des,Senats,wurde,formell,kaum,verändert,Der,Senat,hütete,sich,wohl,durch,unpopuläre,Verfassungsänderungen,oder,offenbare,Verfassungsverletzungen,der,Mitglieder Senat hütete,[]
Buch2,ward,Aber,wenn,die,Bürgerschaft,den,Schein,so,erwarb,der,Senat,das,Wesen,der,Macht,einen,bestimmenden,Einfluß,auf,die,Gesetzgebung,ward Senat das,[]
Buch2,und,das,gesamte,Gemeinderegiment,Jeder,neue,Gesetzvorschlag,ward,zunächst,im,Senat,vorberaten,und,kaum,wagte,es,je,ein,Beamter,ohne,oder,und Senat vorberaten,[]
Buch2,die,Gemeinde,zu,stellen,geschah,es,dennoch,so,hatte,der,Senat,durch,die,Beamteninterzession,und,die,priesterliche,Kassation,eine,lange,Reihe,die Senat durch,[]
Buch2,die,Nichtausführung,der,Gemeindebeschlüsse,in,der,Hand,Es,nahm,der,Senat,ferner,unter,stillschweigender,Zustimmung,der,Gemeinde,das,Recht,in,Anspruch,die Senat ferner,[]
Buch2,zustanden,und,von,politischer,Wichtigkeit,waren,tatsächlich,über,auf,den,Senat,auf,diesem,Wege,erwarb,derselbe,wie,schon,gesagt,ward,das,zustanden Senat auf,['zustand']
Buch2,Überdies,brachte,teils,der,neu,eingeführte,Kompetenzbegriff,teils,das,dem,Senat,tatsächlich,zugestandene,Recht,von,den,Gesetzen,zu,entbinden,einen,wichtigen,Überdies Senat tatsächlich,[]
Buch2,in,die,Hände,des,Senats,Von,dem,Einfluß,den,der,Senat,auf,die,Feststellung,der,Geschäftskreise,namentlich,der,Konsuln,ausübte,ist,in Senat auf,[]
Buch2,Wichtigkeit,und,namentlich,das,gesamte,Finanzwesen,lediglich,ab,von,dem,Senat,Er,war,es,der,Jahr,für,Jahr,den,Beamten,in,Wichtigkeit Senat Er,[]
Buch2,vollkommen,beherrschend,durch,deren,kurze,Dauer,und,durch,die,dem,Senat,nach,der,Beseitigung,des,ständischen,Haders,dienstbar,gewordene,tribunizische,Interzession,vollkommen Senat nach,[]
Buch2,des,ständischen,Haders,dienstbar,gewordene,tribunizische,Interzession,war,der,römische,Senat,der,edelste,Ausdruck,der,Nation,und,in,Konsequenz,und,Staatsklugheit,des Senat der,[]
Buch2,vertreten,worden,als,Rom,in,seiner,guten,Zeit,durch,seinen,Senat,In,der,inneren,Verwaltung,ist,es,allerdings,nicht,zu,verkennen,vertreten Senat In,['vertret']
Buch2,Verwaltung,ist,es,allerdings,nicht,zu,verkennen,daß,die,im,Senat,vorzugsweise,vertretene,Geld,und,Grundaristokratie,in,den,ihre,Sonderinteressen,betreffenden,Verwaltung Senat vorzugsweise,[]
Buch2,Eröffnung,der,politischen,Laufbahn,das,heißt,des,Eintritts,in,den,Senat,für,jedermann,erhielten,neben,dem,Glanz,der,militärischen,und,politischen,Eröffnung Senat für,[]
Buch2,unterdrücken,zu,müssen,so,hat,das,römische,Volk,in,seinem,Senat,längere,Zeit,als,es,einem,Volke,verstattet,zu,sein,pflegt,unterdrücken Senat längere,"['unterdrück', 'lang']"
Buch2,die,Auslieferung,der,Frevler,am,Völkerrecht,zu,fordern,und,der,Senat,war,bereit,dem,billigen,Begehren,sich,zu,fügen,Allein,in,die Senat war,[]
Buch2,nach,dem,Muster,von,Tusculum,Velitraes,Mauern,wurden,niedergerissen,der,Senat,in,Masse,ausgewiesen,und,im,römischen,Etrurien,interniert,die,Stadt,nach Senat in,[]
Buch2,Abzuges,unter,dem,Galgen,durch,zu,erlassen,Allein,der,römische,Senat,unbekümmert,um,den,Eid,der,Offiziere,und,um,das,Schicksal,Abzuges Senat unbekümmert,[]
Buch2,hatten,die,letztere,Anmutung,unbedingt,zurückzuweisen,und,daß,der,römische,Senat,einen,solchen,Vertrag,verwarf,war,recht,und,notwendig,Kein,großes,hatten Senat einen,[]
Buch2,der,Bitte,um,Beistand,gegen,die,Lucaner,an,den,römischen,Senat,Da,das,Bündnis,mit,diesen,durch,die,Anlage,der,Festung,der Senat Da,[]
