Keyword,LeftContext,RightContext
Caesar,Partei zog unter dem jungen Nachwuchs der vierundzwanzigjährige Gaius Julius,geb 12 Juli 652 2 die Blicke von Freund und
Caesar,ebensoviele Empfehlungen in den Augen der demokratischen Partei Indes an,konnten doch nur Hoffnungen für die Zukunft sich knüpfen und
Caesar,eröffnete bald darauf das Plotische Gesetz das namentlich der junge,eifrig unterstützte die Rückkehr in die Heimat diejenigen aber die
Caesar,verließ auf die Kunde von diesen Ereignissen der junge Gaius,Rhodos wo er seiner Studien wegen sich aufhielt und warf
Caesar,dem gerichtlichen ihre Gegner anzugreifen So zog der junge Gaius,der auch soweit sein Alter es gestattete sich bei der
Caesar,nur zu wollen Selbst der weitaus bedeutendste von ihnen Gaius,war nichts als ein junger Mensch dem seine dreisten Fahrten
Caesar,wurden von der Liste gestrichen darunter der einst von Gaius,ohne Erfolg angeklagte Gaius Antonius und der Konsul des J
Caesar,der tribunicischen Gewalttätig gewesen war und der gewesene Quästor Gaius,die Gabinischen Gesetzvorschläge Die privilegierten Klassen waren außer sich nicht
Caesar,Quintus Catulus die Senatoren aufbieten Oder der designierte Ädil Gaius,die städtische Menge deren Augen er soeben an seinen dreihundertzwanzig
Caesar,Die Menge ging um so bereitwilliger mit als namentlich Gaius,sie bei guter Laune hielt durch die verschwenderische Pracht seiner
Caesar,um politische Gleichberechtigung mit den Italikern Schon 686 reiste Gaius,zu diesem Zweck daselbst von Ort zu Ort 689 machte
Caesar,bereuen daß er gewagt hatte an einem dieser Klienten des,und Crassus sich zu vergreifen Dagegen zeigten sich dieselben Führer
Caesar,Rechnung zu tragen war auch auf ihre Nachfolger übergegangen während,und die Seinen einerseits den Transpadanern das Bürgerrecht in Aussicht
Caesar,noch machte es daß der junge Führer der Demokratie Gaius,im J 691 nicht bloß sich es herausnahm bei der
Caesar,kann es nicht befremden daß das Jahr darauf 690 Gaius,als Vorsitzender in dem Mordgericht die Klausel in der Sullanischen
Caesar,Laut hatte die Menge gejubelt als im J 686 Gaius,es wagte den Verboten zuwider bei der Beerdigung der Witwe
Caesar,der Demokratie zu verbünden Schon bei der ersten Koalition hatten,und Crassus als die beiden Schwächeren sich besonders nahe gestanden
Caesar,ausschloß als Konsuln proklamiert werden Crassus sollte sodann die Diktatur,das Reiterführeramt übernehmen ohne Zweifel um eine imposante Militärmacht auf
Caesar,auf das verabredete Zeichen das auf Crassus Wink ihm von,gegeben werden sollte Allein er wartete vergebens Crassus fehlte in
Caesar,dahingestellt bleiben muß Was die Hauptsache anlangt die Beteiligung von,und Crassus so kann allerdings das Zeugnis ihrer politischen Gegner
