LeftContext										Keyword	RightContext									
Partei	zog	unter	dem	jungen	Nachwuchs	der	vierundzwanzigjährige	Gaius	Julius	Caesar	geb	12	Juli	652	2	die	Blicke	von	Freund	und
ebensoviele	Empfehlungen	in	den	Augen	der	demokratischen	Partei	Indes	an	Caesar	konnten	doch	nur	Hoffnungen	für	die	Zukunft	sich	knüpfen	und
eröffnete	bald	darauf	das	Plotische	Gesetz	das	namentlich	der	junge	Caesar	eifrig	unterstützte	die	Rückkehr	in	die	Heimat	diejenigen	aber	die
verließ	auf	die	Kunde	von	diesen	Ereignissen	der	junge	Gaius	Caesar	Rhodos	wo	er	seiner	Studien	wegen	sich	aufhielt	und	warf
dem	gerichtlichen	ihre	Gegner	anzugreifen	So	zog	der	junge	Gaius	Caesar	der	auch	soweit	sein	Alter	es	gestattete	sich	bei	der
nur	zu	wollen	Selbst	der	weitaus	bedeutendste	von	ihnen	Gaius	Caesar	war	nichts	als	ein	junger	Mensch	dem	seine	dreisten	Fahrten
wurden	von	der	Liste	gestrichen	darunter	der	einst	von	Gaius	Caesar	ohne	Erfolg	angeklagte	Gaius	Antonius	und	der	Konsul	des	J
der	tribunicischen	Gewalttätig	gewesen	war	und	der	gewesene	Quästor	Gaius	Caesar	die	Gabinischen	Gesetzvorschläge	Die	privilegierten	Klassen	waren	außer	sich	nicht
Quintus	Catulus	die	Senatoren	aufbieten	Oder	der	designierte	Ädil	Gaius	Caesar	die	städtische	Menge	deren	Augen	er	soeben	an	seinen	dreihundertzwanzig
Die	Menge	ging	um	so	bereitwilliger	mit	als	namentlich	Gaius	Caesar	sie	bei	guter	Laune	hielt	durch	die	verschwenderische	Pracht	seiner
um	politische	Gleichberechtigung	mit	den	Italikern	Schon	686	reiste	Gaius	Caesar	zu	diesem	Zweck	daselbst	von	Ort	zu	Ort	689	machte
bereuen	daß	er	gewagt	hatte	an	einem	dieser	Klienten	des	Caesar	und	Crassus	sich	zu	vergreifen	Dagegen	zeigten	sich	dieselben	Führer
Rechnung	zu	tragen	war	auch	auf	ihre	Nachfolger	übergegangen	während	Caesar	und	die	Seinen	einerseits	den	Transpadanern	das	Bürgerrecht	in	Aussicht
noch	machte	es	daß	der	junge	Führer	der	Demokratie	Gaius	Caesar	im	J	691	nicht	bloß	sich	es	herausnahm	bei	der
kann	es	nicht	befremden	daß	das	Jahr	darauf	690	Gaius	Caesar	als	Vorsitzender	in	dem	Mordgericht	die	Klausel	in	der	Sullanischen
Laut	hatte	die	Menge	gejubelt	als	im	J	686	Gaius	Caesar	es	wagte	den	Verboten	zuwider	bei	der	Beerdigung	der	Witwe
der	Demokratie	zu	verbünden	Schon	bei	der	ersten	Koalition	hatten	Caesar	und	Crassus	als	die	beiden	Schwächeren	sich	besonders	nahe	gestanden
ausschloß	als	Konsuln	proklamiert	werden	Crassus	sollte	sodann	die	Diktatur	Caesar	das	Reiterführeramt	übernehmen	ohne	Zweifel	um	eine	imposante	Militärmacht	auf
auf	das	verabredete	Zeichen	das	auf	Crassus	Wink	ihm	von	Caesar	gegeben	werden	sollte	Allein	er	wartete	vergebens	Crassus	fehlte	in
dahingestellt	bleiben	muß	Was	die	Hauptsache	anlangt	die	Beteiligung	von	Caesar	und	Crassus	so	kann	allerdings	das	Zeugnis	ihrer	politischen	Gegner
in	das	Verzeichnis	der	römischen	Domänen	einzutragen	25	und	daß	Caesar	um	die	gleiche	Zeit	689	oder	690	durch	einige	Tribune
ermitteln	aber	die	große	Wahrscheinlichkeit	ist	dafür	daß	Crassus	und	Caesar	den	Plan	entworfen	hatten	sich	während	Pompeius	Abwesenheit	der	Militärdiktatur
und	Piso	also	Werkzeuge	in	den	Händen	von	Crassus	und	Caesar	gewesen	sind	Einen	Augenblick	kam	die	Verschwörung	ins	Stocken	Die
Die	Wahlen	für	690	fanden	statt	ohne	daß	Crassus	und	Caesar	ihren	Versuch	sich	des	Konsulats	zu	bemeistern	dabei	erneuert	hätten
haben	mag	daß	ein	Verwandter	des	Führers	der	Demokratie	Lucius	Caesar	ein	schwacher	und	von	seinem	Geschlechtsfreund	nicht	selten	als	Werkzeug
keine	Zeit	zu	verlieren	leicht	konnte	sonst	Pompeius	eher	als	Caesar	in	Ägypten	stehen	Die	Verschwörung	von	688	durch	die	schlaffen
strengte	alle	ihre	Kräfte	für	den	Wahlkampf	an	Crassus	und	Caesar	setzten	ihr	Geld	eigenes	oder	geborgtes	und	ihre	Verbindungen	ein
Enthüllungen	benutzt	um	mit	der	Demokratie	überhaupt	und	namentlich	mit	Caesar	abzurechnen	allein	sie	war	viel	zu	gründlich	gesprengt	um	dies
letzteren	zurück	aber	wann	ist	je	die	Feigheit	konsequent	gewesen	Caesar	bot	alles	auf	um	die	Gefangenen	zu	retten	und	seine
sondern	die	ganze	demokratische	Partei	Daß	diese	insbesondere	Crassus	und	Caesar	hier	so	gut	wie	bei	dem	Komplott	von	688	die
ausdrücklichen	und	unabweisbaren	Zeugnissen	waren	es	vor	allen	Crassus	und	Caesar	die	Catilinas	Bewerbung	um	das	Konsulat	unterstützten	Als	Caesar	690
und	Caesar	die	Catilinas	Bewerbung	um	das	Konsulat	unterstützten	Als	Caesar	690	die	Schergen	Sullas	vor	das	Mordgericht	zog	ließ	er
keine	Ursache	hatte	die	Wahrheit	zu	entstellen	hat	ebener	ausdrücklich	Caesar	unter	den	Mitwissern	genannt	Eine	indirekte	aber	sehr	verständliche	Bezichtigung
die	beiden	am	wenigsten	gefährlichen	Statilius	und	Gabinius	den	Senatoren	Caesar	und	Crassus	zur	Bewachung	übergeben	wurden	offenbar	sollten	sie	entweder
Waffen	ergriffen	hatten	waren	gegen	keinen	so	erbittert	wie	gegen	Caesar	sie	richteten	am	fünften	December	als	er	die	Kurie	verließ
auch	das	Beachtung	verdienen	daß	in	viel	späterer	Zeit	als	Caesar	an	die	Spitze	des	Staates	gelangt	war	er	mit	dem
Stellung	einnahm	ungefähr	wie	damals	Sulla	so	suchten	Crassus	und	Caesar	ihm	gegenüber	in	Italien	eine	Gewalt	aufzurichten	wie	Marius	und
und	selbst	eine	so	elastische	und	so	energische	Natur	wie	Caesar	schien	im	Begriff	das	Spiel	verloren	zu	geben	In	dieses
gegenüber	Quintus	Catulus	und	Marcus	Cato	mit	Marcus	Crassus	Gaius	Caesar	und	Titus	Labienus	vereinigt	fand	Aber	nicht	leicht	konnte	der
Pompeius	nach	dem	Osten	gegangen	Er	hatte	Ursache	genug	mit	Caesar	und	seinem	Anhang	unzufrieden	zu	sein	aber	ein	offener	Bruch
närrischen	Cato	die	Demokratie	von	dem	schmiegsamen	Meister	der	Intrigue	Caesar	geleitet	ward	In	diese	Verhältnisse	traf	das	Auftreten	des	von
Cicero	übersandt	hatte	Andererseits	war	es	der	erste	Akt	womit	Caesar	seine	Prätur	eröffnete	daß	er	den	Quintus	Catulus	wegen	der
ermutigt	suspendierte	der	Senat	den	Tribun	Nepos	sowie	den	Prätor	Caesar	der	denselben	bei	der	Einbringung	des	Gesetzes	nach	Kräften	unterstützt
wegen	ihrer	Verfassungs	als	wegen	ihrer	Zweckwidrigkeit	von	Cato	verhindert	Caesar	kehrte	sich	an	den	Beschluß	nicht	und	fuhr	in	seinen
seinem	Interesse	tätig	benutzt	Als	Pompeius	aus	Asien	zurückkam	war	Caesar	wenig	mehr	gewesen	als	was	auch	Catilina	war	der	Chef
Rückhalt	gegen	Pompeius	den	er	an	Piso	verloren	jetzt	an	Caesar	wiederzufinden	sich	bestimmen	lassen	ihn	noch	vor	seinem	Abgang	in
das	Konsulat	mehrmals	vereitelt	und	daß	sie	das	gleiche	gegen	Caesar	versuchen	werde	war	gewiß	genug	Aber	wenn	auch	vielleicht	Caesar
Caesar	versuchen	werde	war	gewiß	genug	Aber	wenn	auch	vielleicht	Caesar	ihr	zum	Trotze	gewählt	ward	so	reichte	die	Wahl	allein
durfte	er	hierauf	eingehen	am	allerwenigsten	aber	einem	Manne	wie	Caesar	der	schon	als	bloßer	politischer	Agitator	ihm	genug	zu	schaffen
lag	So	ward	im	Sommer	624	die	zweite	Koalition	abgeschlossen	Caesar	ließ	sich	das	Konsulat	für	das	folgende	Jahr	und	demnächst
