Source,Target,Type_Source,Type_Target,Weight
Abas,Alasan,LOC,LOC,1
Abas,Alazonios,LOC,PER,1
Abas,Albaner,LOC,LOC,1
Abas,Koses,LOC,PER,1
Abas,Oroizes,LOC,PER,1
Abas,Römern,LOC,LOC,1
Abas,Zuzuges,LOC,PER,1
Abgaros,Alchaudonios,LOC,PER,1
Abgaros,Alchaudonios,PER,PER,1
Abgaros,Antiochia,PER,LOC,1
Abgaros,Arabern,PER,LOC,1
Abgaros,Araberstammes,PER,PER,1
Abgaros,Azizos,PER,PER,1
Abgaros,Bostra,LOC,LOC,1
Abgaros,Damaskos,PER,LOC,1
Abgaros,Edessa,PER,LOC,1
Abgaros,Emir der Araber von,PER,LOC,1
Abgaros,Euphrat Sampsikeramos,PER,LOC,1
Abgaros,Ferne,PER,LOC,1
Abgaros,Hemesa,LOC,LOC,1
Abgaros,Hemesa,PER,LOC,1
Abgaros,Homs,PER,LOC,1
Abgaros,Karrhä,PER,LOC,1
Abgaros,Lucullus,PER,PER,1
Abgaros,Mesopotamien,PER,LOC,1
Abgaros,Osrhoene,LOC,LOC,1
Abgaros,Parther,LOC,LOC,1
Abgaros,Parther,PER,LOC,1
Abgaros,Römer,LOC,LOC,1
Abgaros,Sampsikeramos,LOC,PER,1
Abgaros,Tigranes,PER,PER,1
Abgaros von Osrhoene,Euphratübergang,PER,LOC,1
Abgaros von Osrhoene,Mesopotamiens,PER,LOC,1
Abgaros von Osrhoene,Nisibis,PER,LOC,1
Abgaros von Osrhoene,Oruros,PER,PER,1
Abgaros von Osrhoene,Römern,PER,LOC,1
Abgaros von Osrhoene,Tigris,PER,LOC,1
Abgaros von Osrhoene,römischen Herrschaft,PER,LOC,1
Abgeordneten,Caesar,ORG,PER,1
Abgeordneten,Cicero,ORG,PER,1
Abgeordneten,Gallien,ORG,LOC,1
Abgeordneten,Landtag,ORG,LOC,1
Abgeordneten,Sabinus,ORG,PER,1
Accord,Catilina,LOC,PER,1
Achaia,Eleutherna,LOC,LOC,1
Achaia,Kreter,LOC,LOC,2
Achaia,Lappa,LOC,PER,1
Achaia,Lucius Sisenna,LOC,PER,1
Achaia,Metellus,LOC,PER,1
Achaia,Pompeius,LOC,PER,1
Achaia,Sisenna,LOC,LOC,1
Achaia,Tarent,LOC,LOC,1
