Source,Target,Type_Source,Type_Target,Weight
Afrika,Italien,LOC,LOC,3
Afrika,Sardinien,LOC,LOC,3
Afrika,Sicilien,LOC,LOC,3
Afrika,Spanien,LOC,LOC,4
Alexander,Caesar,PER,PER,3
Alexander,Rom,PER,LOC,3
Alpen,Caesar,LOC,PER,3
Antiochos,Antiochia,PER,LOC,3
Armee,Caesars,ORG,PER,8
Armenien,Mesopotamien,LOC,LOC,4
Asien,Italien,LOC,LOC,4
Asien,Kilikien,LOC,LOC,4
Aushebungen,Pompeius,LOC,PER,3
Bibulus,Cato,PER,PER,3
Bithynien,Kilikien,LOC,LOC,5
Bithynien,Pontus,LOC,LOC,5
Bithynien,Syrien,LOC,LOC,4
Britannien,Caesar,LOC,PER,3
Bürgerschaft,Caesar,LOC,PER,4
Bürgerschaft,Cato,LOC,PER,3
Bürgerschaft,Pompeius,LOC,PER,3
Bürgerschaft,Republik,LOC,LOC,3
Bürgerschaft,Rom,LOC,LOC,3
Bürgerschaft,Senats,LOC,ORG,3
Caesar,Afrika,PER,LOC,7
Caesar,Alexander,PER,PER,3
Caesar,Alexandreia,PER,LOC,6
Caesar,Alpen,PER,LOC,4
Caesar,Armee,PER,ORG,10
Caesar,Brundisium,PER,LOC,5
Caesar,Bürgerschaft,PER,LOC,8
Caesar,Caesars,PER,PER,23
Caesar,Calvinus,PER,PER,3
Caesar,Catilina,PER,PER,4
Caesar,Cato,PER,PER,4
Caesar,Cicero,PER,PER,3
Caesar,Crassus,PER,PER,11
Caesar,Curios,PER,PER,3
Caesar,Dyrrhachion,PER,LOC,3
Caesar,Gaius Gracchus,PER,PER,5
Caesar,Gallien,PER,LOC,33
Caesar,Galliens,PER,LOC,8
Caesar,Gergovia,PER,LOC,5
Caesar,Griechenland,PER,LOC,7
Caesar,Ilerda,PER,PER,3
Caesar,Illyrien,PER,LOC,3
Caesar,Italien,PER,LOC,22
Caesar,Italiens,PER,LOC,6
Caesar,Labienus,PER,PER,6
Caesar,Makedonien,PER,LOC,5
Caesar,Marius,PER,PER,3
Caesar,Napoleon,PER,PER,3
Caesar,Nil,PER,LOC,3
Caesar,Pharnakes,PER,PER,3
Caesar,Pompeianer,PER,LOC,3
Caesar,Pompeius,PER,PER,60
Caesar,Ravenna,PER,LOC,5
Caesar,Reiches,PER,LOC,6
Caesar,Rhein,PER,LOC,9
Caesar,Rhone,PER,LOC,3
Caesar,Rom,PER,LOC,19
Caesar,Roms,PER,LOC,3
Caesar,Römer,PER,LOC,8
Caesar,Römern,PER,LOC,3
Caesar,Spanien,PER,LOC,12
Caesar,Stadt,PER,LOC,5
Caesar,Sulla,PER,PER,3
Caesar,Sullas,PER,PER,5
Caesar,Syrien,PER,LOC,4
Caesar,Ägypten,PER,LOC,7
Caesars,Afrika,PER,LOC,4
Caesars,Alexanders,PER,PER,3
Caesars,Britannien,PER,LOC,3
Caesars,Caesar,PER,PER,20
Caesars,Dyrrhachion,PER,LOC,4
Caesars,Gallien,PER,LOC,8
Caesars,Galliens,PER,LOC,4
Caesars,Italien,PER,LOC,9
Caesars,Italiens,PER,LOC,3
Caesars,Kelten,PER,LOC,4
Caesars,Pompeius,PER,PER,25
Caesars,Rom,PER,LOC,13
Caesars,Spanien,PER,LOC,4
Caesars,Stadt,PER,LOC,5
Calvinus,Scipio,PER,PER,3
Catilina,Antonius,PER,PER,3
Catilina,Caesar,PER,PER,3
Cato,Caesar,PER,PER,4
Cato,Cicero,PER,PER,6
Cato,Pompeius,PER,PER,5
Cato,Scipio,PER,PER,3
Cicero,Caesar,PER,PER,4
Ciceros,Caesar,PER,PER,3
Cinna,Caesar,PER,PER,3
Cinna,Pompeius,PER,PER,3
Cinna,Sulla,PER,PER,4
Cisalpinische Gallien,Italien,LOC,LOC,3
Clodius,Caesar,PER,PER,4
Clodius,Cicero,PER,PER,4
Clodius,Pompeius,PER,PER,5
Corfinium,Pompeius,PER,PER,3
Crassus,Bürgerschaft,PER,LOC,3
Crassus,Caesar,PER,PER,17
Crassus,Caesars,PER,PER,3
Crassus,Italien,PER,LOC,5
Crassus,Pompeius,PER,PER,11
Crassus,Rom,PER,LOC,7
Crassus,Syrien,PER,LOC,5
Crassus,Ägypten,PER,LOC,3
Curio,Utica,PER,LOC,4
Curios,Pompeius,PER,PER,3
Demokraten,Pompeius,ORG,PER,8
Diophantos,Taxiles,LOC,LOC,3
Dyrrhachion,Caesar,LOC,PER,3
Dyrrhachion,Pompeius,LOC,PER,3
Ebro,Ilerda,LOC,LOC,5
Ebro,Sicoris,LOC,LOC,3
Edessa,Karrhä,LOC,LOC,3
Euphrat,Armenien,LOC,LOC,3
Euphrat,Rom,LOC,LOC,3
Euphrat,Römer,LOC,LOC,5
Euphrat,Tigris,LOC,LOC,6
Gabinius,Crassus,PER,PER,3
Gaius Caesar,Sullas,PER,PER,3
Gallien,Afrika,LOC,LOC,3
Gallien,Bürgerschaft,LOC,LOC,4
Gallien,Caesar,LOC,PER,14
Gallien,Caesars,LOC,PER,8
Gallien,Crassus,LOC,PER,3
Gallien,Italien,LOC,LOC,10
Gallien,Makedonien,LOC,LOC,3
Gallien,Narbo,LOC,LOC,4
Gallien,Pompeius,LOC,PER,16
Gallien,Rhein,LOC,LOC,4
Gallien,Rom,LOC,LOC,5
Gallien,Römer,LOC,LOC,4
Gallien,Römern,LOC,LOC,5
Gallien,Spanien,LOC,LOC,7
Gallien,Syrien,LOC,LOC,3
Galliens,Caesar,LOC,PER,3
Griechenland,Italien,LOC,LOC,3
Griechenland,Rom,LOC,LOC,4
Griechenland,Spanien,LOC,LOC,3
Häduer,Vercingetorix,LOC,PER,4
Ilerda,Sicoris,LOC,LOC,3
Illyrien,Caesar,LOC,PER,3
Italien,Afrika,LOC,LOC,3
Italien,Caesar,LOC,PER,8
Italien,Caesars,LOC,PER,16
Italien,Capua,LOC,LOC,3
Italien,Gallien,LOC,LOC,7
Italien,Griechenland,LOC,LOC,3
Italien,Italiens,LOC,LOC,3
Italien,Kleinasien,LOC,LOC,3
Italien,Makedonien,LOC,LOC,4
Italien,Marcus Antonius,LOC,PER,3
Italien,Pompeius,LOC,PER,9
Italien,Provinzen,LOC,LOC,6
Italien,Rom,LOC,LOC,6
Italien,Römer,LOC,LOC,3
Italien,Spanien,LOC,LOC,12
Italien,Sulla,LOC,PER,3
Italiens,Caesar,LOC,PER,3
Juba,Bürgerschaft,PER,LOC,3
Kappadokien,Euphrat,LOC,LOC,3
Karrhä,Parthern,LOC,LOC,3
Karrhä,Römer,LOC,LOC,3
Karthago,Korinth,LOC,LOC,3
Kelten,Caesar,LOC,PER,5
Kelten,Caesars,LOC,PER,3
Kelten,Gallien,LOC,LOC,5
Kelten,Italien,LOC,LOC,3
Kelten,Römer,LOC,LOC,6
Kelten,Römern,LOC,LOC,7
Kilikien,Kreta,LOC,LOC,3
Kilikien,Pompeius,LOC,PER,3
Kilikien,Römer,LOC,LOC,3
Kilikien,Syrien,LOC,LOC,4
Kilikien,Tigranes,LOC,PER,3
Kleinasien,Pompeius,LOC,PER,3
Kleinasien,Römer,LOC,LOC,3
Kleinasien,Syrien,LOC,LOC,4
Kleinasien,Ägypten,LOC,LOC,3
Korduene,Mesopotamien,LOC,LOC,3
Lasthenes,Panares,PER,PER,3
Lasthenes,Römern,PER,LOC,3
Lepidus,Etrurien,PER,LOC,4
Luca,Crassus,PER,PER,3
Luca,Pompeius,PER,PER,4
Lucius Domitius,Pompeius,PER,PER,4
Lucius Lucullus,Kleinasien,PER,LOC,4
Lucullus,Antiochia,PER,LOC,3
Lucullus,Armenien,PER,LOC,4
Lucullus,Armenier,PER,LOC,3
Lucullus,Artaxata,PER,LOC,3
Lucullus,Euphrat,PER,LOC,5
Lucullus,Mithradates,PER,PER,3
Lucullus,Parther,PER,LOC,3
Lucullus,Pompeius,PER,PER,20
Lucullus,Syrien,PER,LOC,4
Lucullus,Tigranokerta,PER,LOC,3
Makedonien,Afrika,LOC,LOC,4
Makedonien,Griechenland,LOC,LOC,4
Makedonien,Italien,LOC,LOC,4
Makedonien,Kilikien,LOC,LOC,3
Makedonien,Sicilien,LOC,LOC,3
Makedonien,Spanien,LOC,LOC,3
Makedonien,Syrien,LOC,LOC,3
Marius,Cinna,PER,PER,5
Marius,Sulla,PER,PER,3
Mesopotamien,Nisibis,LOC,LOC,3
Metellus,Pompeius,PER,PER,10
Milo,Clodius,PER,PER,3
Mithradates,Bithynien,PER,LOC,3
Mithradates,Kappadokien,PER,LOC,4
Mithradates,Pompeius,PER,PER,5
Mithradates,Römern,PER,LOC,6
Mithradates,Syrien,PER,LOC,3
Mithradates,Tigranes,PER,PER,8
Narbo,Italien,LOC,LOC,3
Narbo,Rom,LOC,LOC,3
Narbonensischen,Gallien,LOC,LOC,3
Nepos,Pompeius,PER,PER,4
Panares,Römern,PER,LOC,3
Partei,Pompeius,ORG,PER,3
Partei,Rom,ORG,LOC,3
Parther,Caesar,LOC,PER,3
Parther,Euphrat,LOC,LOC,3
Parther,Rom,LOC,LOC,3
Parther,Römer,LOC,LOC,4
Pharnakes,Pompeius,PER,PER,4
Phraates,Römern,PER,LOC,3
Pompeianer,Caesars,LOC,PER,3
Pompeianer,Sicoris,LOC,LOC,3
Pompeius,Afrika,PER,LOC,6
Pompeius,Apulien,PER,LOC,4
Pompeius,Armee,PER,ORG,9
Pompeius,Armenien,PER,LOC,10
Pompeius,Asien,PER,LOC,5
Pompeius,Brundisium,PER,LOC,3
Pompeius,Bürgerschaft,PER,LOC,9
Pompeius,Caesar,PER,PER,71
Pompeius,Caesars,PER,PER,35
Pompeius,Catilina,PER,PER,3
Pompeius,Cato,PER,PER,7
Pompeius,Cicero,PER,PER,3
Pompeius,Clodius,PER,PER,4
Pompeius,Crassus,PER,PER,26
Pompeius,Deiotarus,PER,PER,3
Pompeius,Demokraten,PER,ORG,3
Pompeius,Dyrrhachion,PER,LOC,6
Pompeius,Ebro,PER,LOC,3
Pompeius,Euphrat,PER,LOC,8
Pompeius,Gallien,PER,LOC,8
Pompeius,Galliens,PER,LOC,3
Pompeius,Glabrio,PER,PER,3
Pompeius,Griechenland,PER,LOC,4
Pompeius,Heeres,PER,ORG,3
Pompeius,II,PER,LOC,3
Pompeius,Italien,PER,LOC,29
Pompeius,Kappadokien,PER,LOC,3
Pompeius,Kaukasus,PER,LOC,4
Pompeius,Kilikien,PER,LOC,7
Pompeius,Kleinasien,PER,LOC,3
Pompeius,Kreta,PER,LOC,3
Pompeius,Makedonien,PER,LOC,3
Pompeius,Marcus Cato,PER,PER,3
Pompeius,Mesopotamien,PER,LOC,3
Pompeius,Metellus,PER,PER,5
Pompeius,Mithradates,PER,PER,5
Pompeius,Parther,PER,LOC,5
Pompeius,Pontus,PER,LOC,4
Pompeius,Pyrenäen,PER,LOC,3
Pompeius,Rom,PER,LOC,16
Pompeius,Roms,PER,LOC,3
Pompeius,Römer,PER,LOC,7
Pompeius,Römern,PER,LOC,3
Pompeius,Scipio,PER,PER,5
Pompeius,Senats,PER,ORG,4
Pompeius,Sertorius,PER,PER,5
Pompeius,Spanien,PER,LOC,18
Pompeius,Stadt,PER,LOC,8
Pompeius,Sulla,PER,PER,5
Pompeius,Syrien,PER,LOC,13
Pompeius,Syriens,PER,LOC,3
Pompeius,Thessalien,PER,LOC,3
Pompeius,Tigranes,PER,PER,5
Pontus,Kilikien,LOC,LOC,3
Pontus,Syrien,LOC,LOC,3
Provinz Asia,Kilikien,LOC,LOC,3
Provinzen,Italien,LOC,LOC,3
Ptolemäos Mennäos,Chalkis,PER,LOC,3
Ptolemäos Mennäos,Sohn,PER,PER,3
Reiches,Italien,LOC,LOC,3
Reiches,Rom,LOC,LOC,3
Republik,Caesar,LOC,PER,3
Rhein,Kelten,LOC,LOC,3
Rhone,Garonne,LOC,LOC,3
Rom,Alexanders,LOC,PER,3
Rom,Alexandreia,LOC,LOC,4
Rom,Armenien,LOC,LOC,3
Rom,Bithynien,LOC,LOC,3
Rom,Bürgerschaft,LOC,LOC,4
Rom,Caesar,LOC,PER,10
Rom,Caesars,LOC,PER,4
Rom,Gallien,LOC,LOC,3
Rom,Italien,LOC,LOC,7
Rom,Kleinasien,LOC,LOC,3
Rom,Pariser,LOC,LOC,3
Rom,Pompeius,LOC,PER,9
Rom,Römern,LOC,LOC,4
Rom,Varro,LOC,PER,3
Roms,Caesar,LOC,PER,4
Roms,Kelten,LOC,LOC,3
Roms,Pompeius,LOC,PER,3
Roms,Römer,LOC,LOC,3
Roms,Römern,LOC,LOC,3
Römer,Alpen,LOC,LOC,3
Römer,Armenien,LOC,LOC,3
Römer,Caesar,LOC,PER,5
Römer,Italien,LOC,LOC,7
Römer,Kelten,LOC,LOC,4
Römer,Kilikien,LOC,LOC,3
Römer,Lucullus,LOC,PER,3
Römer,Pompeius,LOC,PER,4
Römer,Rom,LOC,LOC,6
Römer,Römern,LOC,LOC,6
Römer,Spanien,LOC,LOC,3
Römer,Tigranes,LOC,PER,3
Römern,Mithradates,LOC,PER,3
Römern,Römer,LOC,LOC,4
Sardinien,Afrika,LOC,LOC,6
Sardinien,Sicilien,LOC,LOC,3
Scipio,Caesar,PER,PER,5
Scipio,Haliakmon,PER,PER,3
Scipio,Juba,PER,LOC,3
Sertorius,Metellus,PER,PER,3
Sertorius,Pompeius,PER,PER,3
Sertorius,Spanien,PER,LOC,4
Sicilien,Afrika,LOC,LOC,5
Sicilien,Italien,LOC,LOC,4
Sohn,Chalkis,PER,LOC,3
Sohn,Libanos,PER,LOC,3
Sohn,Römern,PER,LOC,3
Spanien,Afrika,LOC,LOC,12
Spanien,Caesars,LOC,PER,7
Spanien,Crassus,LOC,PER,3
Spanien,Gallien,LOC,LOC,7
Spanien,Italien,LOC,LOC,8
Spanien,Kilikien,LOC,LOC,3
Spanien,Kreta,LOC,LOC,3
Spanien,Makedonien,LOC,LOC,6
Spanien,Numidien,LOC,LOC,3
