Kapitel,Caesar,Cato,Cicero,Crassus,Pompeius,Sertorius
kapitel_01,-0.375,-1.0,-0.5,-0.571,-0.112,0.028
kapitel_02,-1.0,,,-0.25,0.0,-0.062
kapitel_03,-0.5,,-0.75,-0.395,-0.347,-1.0
kapitel_04,,-1.0,,,-0.03,
kapitel_05,-0.304,0.0,-0.812,0.0,-0.25,
kapitel_06,-0.135,-0.182,-0.556,-0.222,-0.138,
kapitel_07,-0.064,,0.5,0.1,-0.5,0.5
kapitel_08,-0.312,-0.393,-0.457,-0.237,-0.194,
kapitel_09,-0.359,-0.375,,-0.167,-0.319,
kapitel_10,-0.135,-0.068,-0.083,0.0,-0.039,0.25
kapitel_11,-0.095,-0.444,0.375,-1.0,-0.567,-0.5
kapitel_12,0.044,0.056,-0.061,0.5,0.0,
kapitel_13,-0.179,-0.125,-0.3,0.143,-0.148,0.0
