Source,Target,Weight,Type
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,18,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1700_MFWs_Culled_0__Classic Delta__001.png,9,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1900_MFWs_Culled_0__Classic Delta_EDGES.csv,27,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_01,24,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_02,4,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_03,12,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_04,9,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_06,10,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_07,11,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_08,22,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_09,12,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_10,6,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_11,7,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_12,3,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_14,10,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_15,4,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch2_kapitel_04,2,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch2_kapitel_05,8,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch3_kapitel_13,1,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,Buch8_kapitel_02,6,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,stylo_config,18,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,table_with_frequencies,6,undirected
Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,wordlist,6,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,54,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,45,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1700_MFWs_Culled_0__Classic Delta__001.png,36,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1900_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1900_MFWs_Culled_0__Classic Delta_EDGES.csv,18,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_300_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_500_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_700_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_900_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_01,16,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_02,2,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_03,8,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_04,6,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_06,6,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_07,7,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_08,14,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_09,8,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_10,4,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_11,4,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_12,2,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_14,6,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch1_kapitel_15,2,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch2_kapitel_04,1,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch2_kapitel_05,5,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,Buch8_kapitel_02,4,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,stylo_config,21,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,table_with_frequencies,3,undirected
Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,wordlist,3,undirected
Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1100_MFWs_Culled_0__Classic Delta__001.png,18,undirected
Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1300_MFWs_Culled_0__Classic Delta__001.png,45,undirected
Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,36,undirected
Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1700_MFWs_Culled_0__Classic Delta__001.png,27,undirected
Buch_kapitelweise_CA_1500_MFWs_Culled_0__Classic Delta__001.png,Buch_kapitelweise_CA_1900_MFWs_Culled_0__Classic Delta__001.png,18,undirected
