Source,Target,Weight,Type
Buch1,Buch2,29,undirected
Buch1,Buch3,10,undirected
Buch1,Buch4,1,undirected
Buch1,Buch8,22,undirected
Buch2,Buch1,29,undirected
Buch2,Buch3,42,undirected
Buch2,Buch4,30,undirected
Buch2,Buch5,20,undirected
Buch2,Buch8,30,undirected
Buch3,Buch1,10,undirected
Buch3,Buch2,42,undirected
Buch3,Buch4,51,undirected
Buch3,Buch5,38,undirected
Buch3,Buch8,16,undirected
Buch4,Buch1,1,undirected
Buch4,Buch2,30,undirected
Buch4,Buch3,51,undirected
Buch4,Buch5,59,undirected
Buch4,Buch8,11,undirected
Buch5,Buch2,20,undirected
Buch5,Buch3,38,undirected
Buch5,Buch4,59,undirected
Buch5,Buch8,1,undirected
Buch8,Buch1,22,undirected
Buch8,Buch2,30,undirected
Buch8,Buch3,16,undirected
Buch8,Buch4,11,undirected
Buch8,Buch5,1,undirected
