"Buch1" "Buch2" "Buch3" "Buch4" "Buch5" "Buch8"
"die" 4.26408438199188 4.80207203108047 4.55309360063886 4.37264623158698 4.23231638418079 4.45543923725394
"der" 4.60620553312893 4.41473288765998 3.81828150514309 4.03298851122658 3.89830508474576 4.14583908436498
"und" 3.64258402092976 3.57822033997177 3.73127212481674 3.4698717643133 3.56790960451977 3.28583865967341
"in" 2.13204219099594 1.91919545459849 1.94996364676575 1.90506268770558 1.88293785310734 2.23217888008834
"den" 1.79702390112817 1.83286082624573 1.94042837220944 1.8675215712447 1.79344632768362 1.78115643513898
"zu" 1.05714251891137 1.42568805198745 1.70145055364188 1.49866520474806 1.72971751412429 0.98910666128724
"von" 1.14947971541203 1.08851632774492 1.20442436739413 1.10537731801497 1.15254237288136 1.36750684815153
"dem" 1.2903531305861 0.985848121055149 1.04947615585406 0.992158077894837 1.03502824858757 1.15473637270932
"des" 1.1767073502776 1.04651569773547 0.89035626169561 1.03684988320542 0.955932203389831 1.28086976833075
"das" 1.18381021154688 1.15385064109295 0.968426322125413 0.998116985269581 0.991638418079096 1.05578323742382
"sich" 0.789601411101772 0.941514122711841 0.998820009773656 1.03327453878057 1.03638418079096 0.724523814579662
"nicht" 0.884306228025523 0.90068017686932 0.9374366798174 0.863445678600372 0.848813559322034 0.944089355105854
"mit" 0.659382287831615 0.733844340998448 0.836124387656587 0.799685369690614 0.841581920903955 0.688000339753254
"auf" 0.737513761793709 0.696510447656715 0.761034100525632 0.746651094055394 0.739435028248588 0.620899072048924
"als" 0.700815645235756 0.621842660973248 0.6132373449028 0.777041521666587 0.72406779661017 0.609432399719704
"es" 0.691345163543381 0.742011130166953 0.730640412877388 0.700171616532393 0.72361581920904 0.534261992228144
"war" 0.34212115113705 0.666176659316556 0.756862417907246 0.771678505029318 0.857401129943503 0.444652071433122
"wie" 0.79433665194796 0.588008820132302 0.561389289502855 0.58814415788721 0.614689265536723 0.758499139999575
"auch" 0.705550886081943 0.607842450970098 0.518480553999452 0.50650712685322 0.55728813559322 0.673560826449791
"daß" 0.629787032542943 0.607842450970098 0.58939915851202 0.639986652047481 0.546440677966102 0.487121228208014
"im" 0.503119339907426 0.583342083464585 0.559601425523546 0.514849597177861 0.511186440677966 0.590321279171002
"an" 0.439193588483894 0.515674401782693 0.547086377668387 0.562520856175812 0.537853107344633 0.525768160873166
"nach" 0.421436435310691 0.509840980948048 0.503581687505215 0.491013967678886 0.433898305084746 0.569086700783556
"er" 0.188225823635955 0.257837200891347 0.547682332328156 0.635219526147686 0.678870056497175 0.363535981993078
"ein" 0.391841180022019 0.431673141763793 0.481531365093744 0.499356438003528 0.48225988700565 0.434884165374896
"sie" 0.394208800445113 0.45034008843466 0.48570304771213 0.425465986556705 0.485423728813559 0.459516276304334
"so" 0.491281237791957 0.42233966842836 0.402865350004172 0.419507079181961 0.474124293785311 0.491792835453252
"aber" 0.493648858215051 0.457340193436235 0.364128297119155 0.385541307145922 0.408135593220339 0.541057057312127
"eine" 0.46760503356102 0.443339983433085 0.456501269383425 0.417123516232064 0.425310734463277 0.42171872677468
"durch" 0.327915428598487 0.45034008843466 0.451733632105269 0.493993421366258 0.487231638418079 0.329985348140913
"ist" 0.94231292839132 0.399005985089776 0.3241993349146 0.263383705963674 0.24135593220339 0.606034867177712
"für" 0.333834479656222 0.381505722585839 0.3241993349146 0.35395909805978 0.357966101694915 0.385195251948273
"aus" 0.416701194464503 0.346505197577964 0.318239788316905 0.303904276111932 0.330847457627119 0.374153271186801
"noch" 0.349224012406331 0.350005250078751 0.340290110728376 0.336678266673023 0.395480225988701 0.266281612978574
"bei" 0.359878304310253 0.289337673398434 0.33552247345022 0.275301520713162 0.278418079096045 0.379674261567537
"römischen" 0.274643969078877 0.358172039247255 0.376047390314545 0.302712494636983 0.222824858757062 0.299832246830739
"um" 0.149160086654907 0.292837725899222 0.316451924337596 0.330123468560805 0.385084745762712 0.178370458454547
"hatte" 0.0757638535390006 0.204169729212605 0.348037521305379 0.343233064785241 0.374689265536723 0.197481579003249
"oder" 0.456950741657098 0.269504042560638 0.259836231659495 0.258616580063879 0.261242937853107 0.251842099675111
"unter" 0.158630568347283 0.226336728384259 0.215735586836553 0.241335748677123 0.231864406779661 0.401758223090481
"dieser" 0.241497283155565 0.292837725899222 0.218119405475631 0.257424798588931 0.220112994350282 0.307901386617969
"nur" 0.32673161838694 0.234503517552763 0.223482997413557 0.231801496877533 0.265762711864407 0.266281612978574
"gegen" 0.0982562475583914 0.273004095061426 0.284866327369814 0.296157696524765 0.291073446327684 0.211496400738963
"ward" 0.170468670462751 0.298671146733868 0.255664549041109 0.352171425847357 0.294237288135593 0.142271675195889
"zum" 0.205982976809158 0.234503517552763 0.237785909248024 0.236568622777328 0.256723163841808 0.245896417726626
"diese" 0.263989677174955 0.245003675055126 0.19606908306416 0.222267245077943 0.181694915254237 0.328286581869917
"sein" 0.245048713790205 0.21116983421418 0.247917138464106 0.240143967202174 0.219209039548023 0.221264306797189
"man" 0.220188699347721 0.235670201719692 0.364724251778925 0.283643991037803 0.194350282485876 0.09852844371775
"wenn" 0.247416334213299 0.189002835042526 0.206200312280242 0.168041187967774 0.23638418079096 0.202577877816236
"selbst" 0.207166787020705 0.176169309206305 0.186533808507849 0.198431615578967 0.254011299435028 0.194508738029006
"vor" 0.215453458501533 0.199502992544888 0.188321672487157 0.225246698765314 0.232768361581921 0.182617374132037
"über" 0.189409633847502 0.214669886714967 0.206200312280242 0.184726128617057 0.232768361581921 0.198755653706496
"zeit" 0.287665881405893 0.198336308377959 0.194877173744622 0.165657625017877 0.166779661016949 0.250143333404115
"seine" 0.0757638535390006 0.11316836419213 0.203816493641164 0.241931639414597 0.280225988700565 0.133353152273162
"rom" 0.253335385271033 0.33717172424253 0.292017783287048 0.193068598941698 0.127457627118644 0.0976790605822521
"sondern" 0.227291560617002 0.182002730040951 0.191301445786005 0.183534347142108 0.184858757062147 0.176247000615803
